%#TITLE = Sample 1 - Emissivity of Ice Snow - Average of 3 Sets (Mammoth Lakes)
%#MEMO =Emissivity of Ice Snow %#1, 3 sets of 1024 scans, 4 cm-1, 4/1/1996 17:14:39
%#DATATYPE = DIRECTIONAL HEMISPHERICAL EMISSIVITY SPECTRUM 
%#ORIGIN = MODIS GROUP OF ICESS, UCSB
%#PI = ZHENGMING WAN
%#EMAIL: wan@icess.ucsb.edu
%#INSTITUTE FOR COMPUTATIONAL EARTH SCIENCE SYSTEM
%#OPERATOR = YULIN ZHANG
%#UNIVERSITY OF CALIFORNIA, SANTA BARBARA
%#DATE = 0/0/0
%#TIME = 0:0
%#SPECTROMETER = TIR SPECTROMETER MODEL MIDAC M2510-C
%#XUNITS = 1/CM
%#YUNITS = ABSOLUTE EMISSIVITY
%#FIRSTX = 686.869
%#LASTX = 2998.3
%#NPOINTS = 600
%#DELTAX = 3.85882
%#CLASS = FTIR
%#FILE NAME:SNOW_1
%#XYDATA=
%
% Note: the first value (400 cm-1) was not measured.  It was
% set equal to the first measurement at 686.869 cm-1
% PMR 15 Feb. 2012
%
%#X(Micrometer)  %#X(cm-1)        %#Yvalue
10.8885         918.399         .991339
10.8429         922.257         .992129
10.7978         926.116         .99262
10.753          929.975         .993233
10.7085         933.834         .993727
10.6645         937.693         .994118
10.6208         941.551         .994288
10.5774         945.41          .994582
10.5344         949.269         .994801
10.4918         953.128         .994986
10.4495         956.987         .995103
10.4075         960.846         .995166
10.3659         964.704         .995229
10.3246         968.563         .995206
10.2836         972.422         .995228
10.2429         976.281         .995257
10.2026         980.14          .995099
10.1626         983.998         .994917
10.1229         987.857         .994661
10.0835         991.716         .994469
10.0444         995.575         .994162
10.0057         999.434         .99385
9.96718         1003.29         .993699
9.92899         1007.15         .993436
9.8911          1011.01         .99325
9.85349         1014.87         .993066
9.81616         1018.73         .993015
9.77912         1022.59         .992969
9.74236         1026.44         .992822
9.70587         1030.3          .992729
9.66965         1034.16         .992593
9.63371         1038.02         .992502
9.59803         1041.88         .992405
9.56261         1045.74         .992124
9.52745         1049.6          .991894
9.49255         1053.46         .991632
9.45791         1057.32         .991529
9.42352         1061.17         .991293
9.38937         1065.03         .991336
9.35548         1068.89         .991219
9.32182         1072.75         .991137
9.28841         1076.61         .990993
9.25524         1080.47         .991092
9.2223          1084.33         .99095
9.1896          1088.19         .990879
9.15713         1092.04         .990727
9.12488         1095.9          .990747
9.09287         1099.76         .990587
9.06107         1103.62         .990595
9.0295          1107.48         .990354
8.99815         1111.34         .990273
8.96701         1115.2          .990106
8.93609         1119.06         .990187
8.90538         1122.91         .990122
8.87489         1126.77         .99013
8.8446          1130.63         .990031
8.81451         1134.49         .99009
8.78463         1138.35         .989948
8.75496         1142.21         .990092
8.72548         1146.07         .990176
8.6962          1149.93         .990295
8.66711         1153.79         .990266
8.63822         1157.64         .990258
8.60952         1161.5          .990228
8.58102         1165.36         .990173
8.5527          1169.22         .990021
8.52456         1173.08         .990094
8.49661         1176.94         .989914
8.46885         1180.8          .989731
8.44126         1184.66         .98956
8.41385         1188.51         .989534
8.38662         1192.37         .989505
8.35957         1196.23         .989247
8.33269         1200.09         .989106
8.30598         1203.95         .988898
8.27945         1207.81         .988742
8.25308         1211.67         .9887
8.22688         1215.53         .988735
8.20084         1219.39         .988728
8.17497         1223.24         .9886
8.14927         1227.1          .988477
8.12372         1230.96         .98858
8.09833         1234.82         .988613
8.07311         1238.68         .988767
8.04803         1242.54         .988679
8.02312         1246.4          .98862
7.99835         1250.26         .988532
7.97374         1254.11         .988402
7.94929         1257.97         .988318
7.92498         1261.83         .988224
7.90081         1265.69         .987987
7.8768          1269.55         .987864
7.85293         1273.41         .987731
7.82921         1277.27         .987599
7.80562         1281.13         .987491
7.78218         1284.99         .987346
7.75888         1288.84         .987203
7.73572         1292.7          .987207
7.7127          1296.56         .98727
7.68981         1300.42         .987359
7.66706         1304.28         .987309
7.64445         1308.14         .987216
7.62196         1312            .987267
7.59961         1315.86         .987244
7.57739         1319.71         .987317
7.5553          1323.57         .987416
7.53333         1327.43         .987315
7.5115          1331.29         .987131
7.48979         1335.15         .987106
7.4682          1339.01         .987171
7.44674         1342.87         .987229
7.42541         1346.73         .987335
7.40419         1350.59         .987352
7.3831          1354.44         .987386
7.36212         1358.3          .987356
7.34127         1362.16         .987389
7.32053         1366.02         .98758
7.29991         1369.88         .987686
7.2794          1373.74         .987773
7.25901         1377.6          .987928
7.23873         1381.46         .988011
7.21857         1385.31         .988196
7.19852         1389.17         .988246
7.17858         1393.03         .988394
7.15875         1396.89         .988527
7.13903         1400.75         .988478
7.11941         1404.61         .988399
7.09991         1408.47         .98835
7.08051         1412.33         .988268
7.06122         1416.19         .988274
7.04203         1420.04         .988071
7.02295         1423.9          .987941
7.00396         1427.76         .98786
6.98509         1431.62         .987655
6.96631         1435.48         .987508
6.94763         1439.34         .987284
6.92906         1443.2          .987165
6.91058         1447.06         .987054
6.8922          1450.91         .986867
6.87392         1454.77         .986915
6.85573         1458.63         .98698
6.83764         1462.49         .986947
6.81965         1466.35         .986935
6.80175         1470.21         .986954
6.78394         1474.07         .986888
6.76623         1477.93         .986808
6.74861         1481.79         .986625
6.73108         1485.64         .986548
6.71364         1489.5          .986282
6.6963          1493.36         .98595
6.67904         1497.22         .985668
6.66187         1501.08         .985526
6.64479         1504.94         .985325
6.62779         1508.8          .985247
6.61088         1512.66         .985154
6.59406         1516.51         .985055
6.57733         1520.37         .984748
6.56068         1524.23         .98479
6.54411         1528.09         .984713
6.52762         1531.95         .984725
6.51122         1535.81         .984647
6.4949          1539.67         .984502
6.47867         1543.53         .984443
6.46251         1547.38         .984458
6.44644         1551.24         .984558
6.43044         1555.1          .984773
6.41452         1558.96         .984707
6.39868         1562.82         .9849
6.38292         1566.68         .985016
6.36724         1570.54         .985277
6.35163         1574.4          .98556
6.3361          1578.26         .985758
6.32065         1582.11         .985855
6.30527         1585.97         .985852
6.28997         1589.83         .985933
6.27474         1593.69         .986018
6.25958         1597.55         .985985
6.2445          1601.41         .985871
6.22949         1605.27         .9855
6.21455         1609.13         .985309
6.19968         1612.98         .985197
6.18489         1616.84         .985057
6.17016         1620.7          .984854
6.1555          1624.56         .98479
6.14092         1628.42         .984766
6.1264          1632.28         .984741
6.11195         1636.14         .98469
6.09757         1640            .98495
6.08326         1643.86         .985037
6.06901         1647.71         .985044
6.05483         1651.57         .984937
6.04072         1655.43         .985169
6.02667         1659.29         .985307
6.01268         1663.15         .985377
5.99877         1667.01         .985524
5.98491         1670.87         .985709
5.97112         1674.73         .985835
5.9574          1678.58         .985908
5.94373         1682.44         .986097
5.93013         1686.3          .986647
5.91659         1690.16         .987058
5.90311         1694.02         .987287
5.8897          1697.88         .987383
5.87634         1701.74         .987541
5.86305         1705.6          .987747
5.84981         1709.46         .987867
5.83664         1713.31         .987964
5.82352         1717.17         .988113
5.81046         1721.03         .988048
5.79746         1724.89         .987835
5.78452         1728.75         .987583
5.77164         1732.61         .987626
5.75882         1736.47         .987591
5.74605         1740.33         .987495
5.73333         1744.18         .987446
5.72068         1748.04         .987558
5.70808         1751.9          .98752
5.69553         1755.76         .987447
5.68304         1759.62         .987627
5.67061         1763.48         .987784
5.65822         1767.34         .98778
5.6459          1771.2          .98777
5.63362         1775.06         .987755
5.6214          1778.91         .987773
5.60924         1782.77         .987855
5.59712         1786.63         .987932
5.58506         1790.49         .988038
5.57305         1794.35         .98795
5.56109         1798.21         .988145
5.54918         1802.07         .988271
5.53732         1805.93         .988364
5.52552         1809.78         .98835
5.51376         1813.64         .988462
5.50205         1817.5          .988369
5.4904          1821.36         .988161
5.47879         1825.22         .988115
5.46723         1829.08         .988322
5.45572         1832.94         .988167
5.44426         1836.8          .988065
5.43284         1840.66         .98794
5.42148         1844.51         .988208
5.41016         1848.37         .988182
5.39889         1852.23         .988199
5.38766         1856.09         .988357
5.37649         1859.95         .988198
5.36536         1863.81         .988044
5.35427         1867.67         .988053
5.34323         1871.53         .988015
5.33224         1875.38         .988057
5.32129         1879.24         .987933
5.31038         1883.1          .98785
5.29952         1886.96         .987806
5.28871         1890.82         .987632
5.27794         1894.68         .987745
5.26721         1898.54         .987531
5.25652         1902.4          .9876
5.24588         1906.25         .98754
5.23529         1910.11         .987503
5.22473         1913.97         .987504
5.21422         1917.83         .987608
5.20375         1921.69         .987601
5.19332         1925.55         .987669
5.18293         1929.41         .987707
5.17259         1933.27         .987751
5.16228         1937.13         .987553
5.15202         1940.98         .987449
5.1418          1944.84         .987504
5.13162         1948.7          .987472
5.12148         1952.56         .98745
5.11137         1956.42         .987397
5.10131         1960.28         .987284
5.09129         1964.14         .987106
5.08131         1968            .987381
5.07136         1971.85         .987548
5.06146         1975.71         .987913
5.05159         1979.57         .987794
5.04176         1983.43         .987907
5.03197         1987.29         .987704
5.02222         1991.15         .98788
5.01251         1995.01         .988084
5.00283         1998.87         .988048
4.99319         2002.73         .987784
4.98359         2006.58         .987507
4.97402         2010.44         .987209
4.9645          2014.3          .987291
4.955           2018.16         .987087
4.94555         2022.02         .987031
4.93613         2025.88         .986759
4.92674         2029.74         .986628
4.91739         2033.6          .986753
4.90808         2037.45         .986636
4.8988          2041.31         .986735
4.88956         2045.17         .98659
4.88035         2049.03         .986222
4.87118         2052.89         .985987
4.86204         2056.75         .985926
4.85293         2060.61         .985818
4.84386         2064.47         .985703
4.83483         2068.33         .985454
4.82582         2072.18         .985407
4.81685         2076.04         .985268
4.80792         2079.9          .985307
4.79901         2083.76         .985424
4.79014         2087.62         .985558
4.7813          2091.48         .985404
4.7725          2095.34         .985346
4.76373         2099.2          .985078
4.75498         2103.05         .985169
4.74628         2106.91         .985025
4.7376          2110.77         .984862
4.72895         2114.63         .9846
4.72034         2118.49         .984443
4.71176         2122.35         .984368
4.70321         2126.21         .984519
4.69469         2130.07         .984516
4.6862          2133.93         .984626
4.67774         2137.78         .984567
4.66931         2141.64         .984436
4.66091         2145.5          .984275
4.65254         2149.36         .984079
4.64421         2153.22         .983937
4.6359          2157.08         .983642
4.62762         2160.94         .983291
4.61937         2164.8          .982857
4.61115         2168.65         .982756
4.60296         2172.51         .982798
4.5948          2176.37         .98292
4.58667         2180.23         .982714
4.57856         2184.09         .9831
4.57049         2187.95         .983201
4.56244         2191.81         .983218
4.55442         2195.67         .983303
4.54643         2199.53         .983829
4.53847         2203.38         .983842
4.53054         2207.24         .983286
4.52263         2211.1          .982827
4.51475         2214.96         .983027
4.5069          2218.82         .982931
4.49907         2222.68         .982808
4.49128         2226.54         .982892
4.48351         2230.4          .983206
4.47576         2234.25         .983206
4.46805         2238.11         .983384
4.46036         2241.97         .984048
4.45269         2245.83         .984631
4.44505         2249.69         .984952
4.43744         2253.55         .985175
4.42986         2257.41         .985476
4.4223          2261.27         .985696
4.41476         2265.13         .985703
4.40726         2268.98         .985584
4.39977         2272.84         .985542
4.39232         2276.7          .985485
4.38488         2280.56         .985364
4.37748         2284.42         .985118
4.3701          2288.28         .985172
4.36274         2292.14         .985106
4.35541         2296            .984923
4.3481          2299.85         .985022
4.34082         2303.71         .985214
4.33356         2307.57         .985197
4.32632         2311.43         .984951
4.31911         2315.29         .984857
4.31192         2319.15         .984808
4.30476         2323.01         .984477
4.29762         2326.87         .98436
4.29051         2330.72         .984387
4.28342         2334.58         .984089
4.27635         2338.44         .983899
4.2693          2342.3          .98395
4.26228         2346.16         .983927
4.25528         2350.02         .984122
4.24831         2353.88         .984286
4.24135         2357.74         .98456
4.23442         2361.6          .984777
4.22751         2365.45         .984958
4.22063         2369.31         .984879
4.21377         2373.17         .984792
4.20693         2377.03         .984692
4.20011         2380.89         .984598
4.19331         2384.75         .984237
4.18654         2388.61         .984083
4.17978         2392.47         .983791
4.17305         2396.32         .983794
4.16635         2400.18         .984056
4.15966         2404.04         .984596
4.15299         2407.9          .985137
4.14635         2411.76         .985543
4.13972         2415.62         .98565
4.13312         2419.48         .985739
4.12654         2423.34         .985857
4.11998         2427.2          .985827
4.11344         2431.05         .985569
4.10692         2434.91         .984972
4.10042         2438.77         .984414
4.09394         2442.63         .983852
4.08749         2446.49         .983223
4.08105         2450.35         .983293
4.07463         2454.21         .983398
4.06824         2458.07         .983643
4.06186         2461.92         .983859
4.0555          2465.78         .984213
4.04917         2469.64         .984175
4.04285         2473.5          .984042
4.03655         2477.36         .983899
4.03027         2481.22         .983832
4.02402         2485.08         .983355
4.01778         2488.94         .982993
4.01156         2492.8          .982475
4.00536         2496.65         .982261
3.99918         2500.51         .981973
3.99301         2504.37         .982076
3.98687         2508.23         .982185
3.98075         2512.09         .982355
3.97464         2515.95         .9824
3.96856         2519.81         .982729
3.96249         2523.67         .982717
3.95644         2527.52         .98297
3.95041         2531.38         .982947
3.94439         2535.24         .983146
3.9384          2539.1          .983243
3.93242         2542.96         .983623
3.92646         2546.82         .983637
3.92052         2550.68         .984102
3.9146          2554.54         .984498
3.9087          2558.4          .985095
3.90281         2562.25         .985148
3.89694         2566.11         .98551
3.89109         2569.97         .985655
3.88526         2573.83         .985531
3.87944         2577.69         .984996
3.87364         2581.55         .985207
3.86786         2585.41         .984992
3.8621          2589.27         .98514
3.85635         2593.12         .984934
3.85062         2596.98         .985148
3.84491         2600.84         .984854
3.83921         2604.7          .984637
3.83353         2608.56         .984726
3.82787         2612.42         .985036
3.82222         2616.28         .984657
3.81659         2620.14         .984657
3.81098         2624            .984197
3.80538         2627.85         .984246
3.7998          2631.71         .984033
3.79424         2635.57         .983776
3.78869         2639.43         .983296
3.78316         2643.29         .982996
3.77765         2647.15         .982595
3.77215         2651.01         .9824
3.76667         2654.87         .982254
3.7612          2658.72         .982422
3.75575         2662.58         .98233
3.75031         2666.44         .982147
3.74489         2670.3          .982536
3.73949         2674.16         .983057
3.7341          2678.02         .983094
3.72873         2681.88         .98342
3.72337         2685.74         .983697
3.71803         2689.59         .984284
3.7127          2693.45         .984142
3.70739         2697.31         .983909
3.7021          2701.17         .983615
3.69681         2705.03         .98344
3.69155         2708.89         .983001
3.6863          2712.75         .983191
3.68106         2716.61         .98315
3.67584         2720.47         .982915
3.67063         2724.32         .982114
3.66544         2728.18         .98151
3.66026         2732.04         .981584
3.6551          2735.9          .981459
3.64995         2739.76         .981531
3.64482         2743.62         .981548
3.6397          2747.48         .981193
3.6346          2751.34         .980812
3.6295          2755.19         .980673
3.62443         2759.05         .98053
3.61937         2762.91         .980768
3.61432         2766.77         .980777
3.60928         2770.63         .980926
3.60427         2774.49         .980605
3.59926         2778.35         .980465
3.59427         2782.21         .980523
3.58929         2786.07         .98081
3.58432         2789.92         .981216
3.57937         2793.78         .981152
3.57444         2797.64         .980999
3.56951         2801.5          .980798
3.5646          2805.36         .98035
3.55971         2809.22         .979765
3.55482         2813.08         .979514
3.54995         2816.94         .97892
3.5451          2820.79         .978345
3.54025         2824.65         .977651
3.53543         2828.51         .977619
3.53061         2832.37         .977428
3.5258          2836.23         .977293
3.52101         2840.09         .977436
3.51624         2843.95         .977876
3.51147         2847.81         .977886
3.50672         2851.67         .978718
3.50198         2855.52         .97876
3.49726         2859.38         .978841
3.49254         2863.24         .979102
3.48784         2867.1          .979122
3.48315         2870.96         .978365
3.47848         2874.82         .978504
3.47382         2878.68         .977969
3.46917         2882.54         .977561
3.46453         2886.39         .976737
3.4599          2890.25         .976044
3.45529         2894.11         .97597
3.45069         2897.97         .974407
3.4461          2901.83         .973224
3.44152         2905.69         .973346
3.43696         2909.55         .972839
3.43241         2913.41         .972604
3.42787         2917.27         .97281
3.42334         2921.12         .972401
3.41882         2924.98         .971845
3.41432         2928.84         .971334
3.40982         2932.7          .972006
3.40534         2936.56         .973036
3.40087         2940.42         .972808
3.39642         2944.28         .972092
3.39197         2948.14         .971419
3.38754         2951.99         .970704
3.38312         2955.85         .969816
3.3787          2959.71         .97003
3.37431         2963.57         .968218
3.36992         2967.43         .967494
3.36554         2971.29         .966173
3.36118         2975.15         .965488
3.35682         2979.01         .965822
3.35248         2982.87         .966216
3.34815         2986.72         .96577
3.34383         2990.58         .96521
3.33952         2994.44         .971279
3.33522         2998.3          .970111
